id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
825113448274997253,825113448274997253,2017-01-27 23:49:10 CET,2017-01-27,23:49:10,+0100,2961703868,cj_todd1,CJ Todd,"{'type': 'Point', 'coordinates': [34.05536166, -118.24584961]}",The Many Ways the Cannabis Industry Lacks Traditional Marketing Expertise  https://t.co/Kn6rEB3uPz @Entrepreneur #marketing,en,"[{'screen_name': 'entrepreneur', 'name': 'entrepreneur', 'id': '19407053'}]",['http://dlvr.it/ND90t1'],[],0,0,3,['marketing'],[],https://twitter.com/cj_todd1/status/825113448274997253,False,,0,,,"39,-98,2400km",,,,,[],,,,
825043520952090625,825043520952090625,2017-01-27 19:11:18 CET,2017-01-27,19:11:18,+0100,2848572221,420tradingco,FourTwentyTradingCo®,"{'type': 'Point', 'coordinates': [34.27469982, -119.27291511]}",🐼 We sat down to #talk a little #music and #cannabis with James and Chris of giantpandadub as…  https://t.co/dsGTAGnALk,en,[],['https://www.instagram.com/p/BPxwN6PAUVU/'],[],0,0,1,"['talk', 'music', 'cannabis']",[],https://twitter.com/420TradingCo/status/825043520952090625,False,,0,,,"39,-98,2400km",,,,,[],,,,
825014305695338496,825014305695338496,2017-01-27 17:15:13 CET,2017-01-27,17:15:13,+0100,3167803963,detailsdetailsc,Mariah,"{'type': 'Point', 'coordinates': [39.56701, -105.02551]}",Happy Friday y'all! If you don't know about the cannabis_wedding_expo - here's your chance to…  https://t.co/uxfm4LKMwY,en,[],['https://www.instagram.com/p/BPxiT6sA7gn/'],[],0,0,0,[],[],https://twitter.com/detailsdetailsc/status/825014305695338496,False,,0,,,"39,-98,2400km",,,,,[],,,,
824871964317622272,824871964317622272,2017-01-27 07:49:36 CET,2017-01-27,07:49:36,+0100,14177438,shawnaseldon,Shawna Seldon McGregor,"{'type': 'Point', 'coordinates': [40.0194, -105.259]}",Then rocking the masonjarevents with some of the funnest peeps in the industry. #cannabis…  https://t.co/tXtgSHIsC8,en,[],['https://www.instagram.com/p/BPwiMe6FNV4/'],[],0,0,1,['cannabis'],[],https://twitter.com/shawnaseldon/status/824871964317622272,False,,0,,,"39,-98,2400km",,,,,[],,,,
824776745870061568,824776745870061568,2017-01-27 01:31:14 CET,2017-01-27,01:31:14,+0100,8316372,simonrraseley,Simon R Raseley,"{'type': 'Point', 'coordinates': [42.2440799, -84.74955]}",#Cannabis #420 #Marijuana #Reefer #Pot #Grass #Smoke #Bongs @ First Presbyterian Church of…  https://t.co/J2lDPc0w2e,en,[],['http://ln.is/www.instagram.com/p/NCPoX'],[],0,0,2,"['cannabis', 'marijuana', 'reefer', 'pot', 'grass', 'smoke', 'bongs']",[],https://twitter.com/simonrraseley/status/824776745870061568,False,,0,,,"39,-98,2400km",,,,,[],,,,
824753881099988994,824753881099988994,2017-01-27 00:00:23 CET,2017-01-27,00:00:23,+0100,8565392,frankshamrock,Frank Shamrock,"{'type': 'Point', 'coordinates': [34.26414259, -118.79575962]}","Thank you!! 🍀 watch @BakeOutTV anytime, any where.#cannabis #medicine #cbd #tahneesmedicine  https://t.co/DECNPKEbZZ",en,"[{'screen_name': 'bakeouttv', 'name': 'bakeout.tv', 'id': '812003022741999616'}]",['http://ow.ly/DaRN308ojRz'],[],0,0,4,"['cannabis', 'medicine', 'cbd', 'tahneesmedicine']",[],https://twitter.com/frankshamrock/status/824753881099988994,False,,0,,,"39,-98,2400km",,,,,[],,,,
824665879392641024,824665879392641024,2017-01-26 18:10:41 CET,2017-01-26,18:10:41,+0100,1563760872,tracycurley420,Tracy Curley 🔴,"{'type': 'Point', 'coordinates': [43.7166, -79.3407]}","Press Conference with Queen's of Cannabis, CFBA and me... #toronto #news #cannabis #cp24 @…  https://t.co/aEJztHxvi6",en,[],['https://www.instagram.com/p/BPvEfCnDEAO/'],[],0,3,4,"['toronto', 'news', 'cannabis', 'cp24']",[],https://twitter.com/TracyCurley420/status/824665879392641024,False,,0,,,"39,-98,2400km",,,,,[],,,,
824530903603015680,824530903603015680,2017-01-26 09:14:21 CET,2017-01-26,09:14:21,+0100,2662751011,ibakedenver,iBAKE Denver,"{'type': 'Point', 'coordinates': [39.8082107, -104.9782049]}",#facts #cannabis #love #amazing #instalike #follow #swag #life #ibakedenver #ibakefamily @ IBAKE…  https://t.co/w8Y2Yckx2H,tl,[],['https://www.instagram.com/p/BPuHGzMjBXD/'],[],0,0,9,"['facts', 'cannabis', 'love', 'amazing', 'instalike', 'follow', 'swag', 'life', 'ibakedenver', 'ibakefamily']",[],https://twitter.com/iBAKEDenver/status/824530903603015680,False,,0,,,"39,-98,2400km",,,,,[],,,,
824457008334143488,824457008334143488,2017-01-26 04:20:43 CET,2017-01-26,04:20:43,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.60613816, -84.4733781]}",RIP hometeam mykelmyerstv #TruuScotchy #hustler #design #grind #cannabis #djs #tweet #listening…  https://t.co/sXqsQUryr2,en,[],['http://ln.is/www.instagram.com/p/UecZ3co'],[],0,2,1,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet', 'listening']",[],https://twitter.com/SpydermanReady2/status/824457008334143488,False,,0,,,"39,-98,2400km",,,,,[],,,,
824456653160456194,824456653160456194,2017-01-26 04:19:18 CET,2017-01-26,04:19:18,+0100,878598265,mercurialbianca,"Bianca New President, Who Dis?","{'type': 'Point', 'coordinates': [45.454357, -122.752187]}",I have been to a lot of networking events over the years. Cannabis Industry so far is proving to…  https://t.co/fHlWG688cm,en,[],['https://www.instagram.com/p/BPtlVzujt7G/'],[],0,0,0,[],[],https://twitter.com/MercurialBianca/status/824456653160456194,False,,0,,,"39,-98,2400km",,,,,[],,,,
824456482896936960,824456482896936960,2017-01-26 04:18:37 CET,2017-01-26,04:18:37,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.60613816, -84.4733781]}",RIP hometeam mykel_myers #TruuScotchy #hustler #design #grind #cannabis #djs #tweet #listening…  https://t.co/ZwA0TKuzky,en,[],['http://ln.is/www.instagram.com/p/7k5zdhL'],[],0,2,2,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet', 'listening']",[],https://twitter.com/SpydermanReady2/status/824456482896936960,False,,0,,,"39,-98,2400km",,,,,[],,,,
824451227417247744,824451227417247744,2017-01-26 03:57:44 CET,2017-01-26,03:57:44,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.60613816, -84.4733781]}",Scotchy boi 💯 @itsDJBRAD @djculinary #TruuScotchy #hustler #design #grind #cannabis #djs #tweet…  https://t.co/SM9E25M5iJ,en,"[{'screen_name': 'itsdjbrad', 'name': 'world famous dj brad', 'id': '965822737'}, {'screen_name': 'djculinary', 'name': 'dj culinary', 'id': '3259103614'}]",['http://ln.is/www.instagram.com/p/kRwrHNf'],[],0,3,2,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet']",[],https://twitter.com/SpydermanReady2/status/824451227417247744,False,,0,,,"39,-98,2400km",,,,,[],,,,
824450737174355969,824450737174355969,2017-01-26 03:55:47 CET,2017-01-26,03:55:47,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.60613816, -84.4733781]}",Scotchy boi 💯 @itsDJBRAD @djculinary #TruuScotchy #hustler #design #grind #cannabis #djs #tweet…  https://t.co/VLCspFlK17,en,"[{'screen_name': 'itsdjbrad', 'name': 'world famous dj brad', 'id': '965822737'}, {'screen_name': 'djculinary', 'name': 'dj culinary', 'id': '3259103614'}]",['http://ln.is/www.instagram.com/p/k5oX5AC'],[],0,2,2,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet']",[],https://twitter.com/SpydermanReady2/status/824450737174355969,False,,0,,,"39,-98,2400km",,,,,[],,,,
824388082472468480,824388082472468480,2017-01-25 23:46:49 CET,2017-01-25,23:46:49,+0100,478316541,markce11s,Cell$,"{'type': 'Point', 'coordinates': [43.646286, -79.408646]}","I'm at Cannabis Culture in Toronto, ON  https://t.co/xzlzQ9INcw",en,[],['https://www.swarmapp.com/c/dNlDFV2TCyc'],[],0,0,3,[],[],https://twitter.com/markce11s/status/824388082472468480,False,,0,,,"39,-98,2400km",,,,,[],,,,
824350618554945538,824350618554945538,2017-01-25 21:17:57 CET,2017-01-25,21:17:57,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.9433861, -84.3018112]}",Scotchy boi 💯 #TruuScotchy #hustler #design #grind #cannabis #djs #tweet #listening #Look…  https://t.co/2OQSv0o30A,en,[],['http://ln.is/www.instagram.com/p/QTi7PPp'],[],0,2,1,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet', 'listening', 'look']",[],https://twitter.com/SpydermanReady2/status/824350618554945538,False,,0,,,"39,-98,2400km",,,,,[],,,,
824346982865129484,824346982865129484,2017-01-25 21:03:30 CET,2017-01-25,21:03:30,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.9433861, -84.3018112]}",Scotchy boi 💯 #TruuScotchy #hustler #design #grind #cannabis #djs #tweet #listening #Look…  https://t.co/nNmIcNSPHI,en,[],['http://ln.is/www.instagram.com/p/SJ2j9Gm'],[],0,2,1,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet', 'listening', 'look']",[],https://twitter.com/SpydermanReady2/status/824346982865129484,False,,0,,,"39,-98,2400km",,,,,[],,,,
824345615760896001,824345615760896001,2017-01-25 20:58:05 CET,2017-01-25,20:58:05,+0100,820093160655200257,kettleriverind,Kettle River Ind.,"{'type': 'Point', 'coordinates': [48.9925, -118.507]}","🌱 #Riseandshine, it's #cannabis time! Growing isn't easy, but we sure do reap the reward. You…  https://t.co/6snmaFUvWA",en,[],['https://www.instagram.com/p/BPsoumohMo5/'],[],0,0,1,"['riseandshine', 'cannabis']",[],https://twitter.com/KettleRiverInd/status/824345615760896001,False,,0,,,"39,-98,2400km",,,,,[],,,,
824322843559268353,824322843559268353,2017-01-25 19:27:35 CET,2017-01-25,19:27:35,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.9433861, -84.3018112]}",Scotchy boi 💯 School days #TruuScotchy #hustler #design #grind #cannabis #djs #tweet #listening…  https://t.co/WRza0UI0ul,en,[],['http://ln.is/www.instagram.com/p/E6zem7I'],[],0,2,1,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet', 'listening']",[],https://twitter.com/SpydermanReady2/status/824322843559268353,False,,0,,,"39,-98,2400km",,,,,[],,,,
824298780451340294,824298780451340294,2017-01-25 17:51:58 CET,2017-01-25,17:51:58,+0100,3240533584,kushkards,kushkards,"{'type': 'Point', 'coordinates': [39.7392, -104.984]}",Shout - Out 📡 to the second #Cannabis #Wedding #Expo to be held in #Denver  🌿 this upcoming…  https://t.co/Y39c754r5m,en,[],['https://www.instagram.com/p/BPsdjFVDHRX/'],[],0,0,3,"['cannabis', 'wedding', 'expo', 'denver']",[],https://twitter.com/kushkards/status/824298780451340294,False,,0,,,"39,-98,2400km",,,,,[],,,,
824241949708169218,824241949708169218,2017-01-25 14:06:09 CET,2017-01-25,14:06:09,+0100,26814090,bitoutlook,Bit Outlook,"{'type': 'Point', 'coordinates': [39.68922383, -104.9874115]}","North Americans Spent Almost $7 Billion on Legal Marijuana in 2016, Report Finds  https://t.co/0izIiaHIju #Cannabis via @entrepreneur  https://t.co/DukIW7moka",en,"[{'screen_name': 'entrepreneur', 'name': 'entrepreneur', 'id': '19407053'}]",['http://dlvr.it/NC2FS3'],['https://pbs.twimg.com/media/C3BLrvwUkAEyOol.jpg'],0,0,0,['cannabis'],[],https://twitter.com/bitoutlook/status/824241949708169218,False,,1,https://pbs.twimg.com/media/C3BLrvwUkAEyOol.jpg,,"39,-98,2400km",,,,,[],,,,
824104736211148800,824104736211148800,2017-01-25 05:00:54 CET,2017-01-25,05:00:54,+0100,21982378,redheadkurtz,Rachel Kurtz-McAlaine,"{'type': 'Point', 'coordinates': [37.7950087, -122.2733517]}",Packed house at the @nciaorg NorCal Quarterly Cannabis Caucus tonight.    #cannabiscommunity…  https://t.co/pPlTOXOIUJ,en,"[{'screen_name': 'nciaorg', 'name': 'national cannabis industry association', 'id': '217618731'}]",['https://www.instagram.com/p/BPrFTngBn2q/'],[],0,0,1,['cannabiscommunity'],[],https://twitter.com/redheadkurtz/status/824104736211148800,False,,0,,,"39,-98,2400km",,,,,[],,,,
823696445668753408,823696445668753408,2017-01-24 01:58:30 CET,2017-01-24,01:58:30,+0100,47661701,drreefer,DrReefer,"{'type': 'Point', 'coordinates': [36.095858, -115.032655]}",DrReefer was here and so was Captain Morgan.   #420 #cannabis #weed #weedstagram #ganja…  https://t.co/GBZnIzRyX5,en,[],['https://www.instagram.com/p/BPoLo2WBogd/'],[],0,0,3,"['cannabis', 'weed', 'weedstagram', 'ganja']",[],https://twitter.com/DrReefer/status/823696445668753408,False,,0,,,"39,-98,2400km",,,,,[],,,,
823620725277921280,823620725277921280,2017-01-23 20:57:37 CET,2017-01-23,20:57:37,+0100,27825714,wonderrhythm,Elijah Woods,"{'type': 'Point', 'coordinates': [37.9756, -121.301]}",Lime flavored Girl Scout Cookies candies #thc #cannabis #medicalcannabis #ganja #sensiorganics…  https://t.co/AOF0FPTfKy,en,[],['https://www.instagram.com/p/BPnpNDEAmIY/'],[],0,0,3,"['thc', 'cannabis', 'medicalcannabis', 'ganja', 'sensiorganics']",[],https://twitter.com/WonderRhythm/status/823620725277921280,False,,0,,,"39,-98,2400km",,,,,[],,,,
823585452900941824,823585452900941824,2017-01-23 18:37:28 CET,2017-01-23,18:37:28,+0100,14177438,shawnaseldon,Shawna Seldon McGregor,"{'type': 'Point', 'coordinates': [39.73469, -104.987]}",@SensiMag party #cannabis #sensinight @CannabisWest @ City Hall  https://t.co/xnGX73smRD,en,"[{'screen_name': 'cannabiswest', 'name': 'high west cannabis', 'id': '768956657204285440'}]",['https://www.instagram.com/p/BPnZKQWFqFH/'],[],0,0,0,"['cannabis', 'sensinight']",[],https://twitter.com/shawnaseldon/status/823585452900941824,False,,0,,,"39,-98,2400km",,,,,[],,,,
823574580556165124,823574580556165124,2017-01-23 17:54:15 CET,2017-01-23,17:54:15,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.9433861, -84.3018112]}",Back in Class Scotchy boi Education #TruuScotchy #hustler #design #grind #cannabis #djs #tweet…  https://t.co/f6q38ANiyp,en,[],['http://ln.is/www.instagram.com/p/HSFn4'],[],0,2,2,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet']",[],https://twitter.com/SpydermanReady2/status/823574580556165124,False,,0,,,"39,-98,2400km",,,,,[],,,,
823569496128557056,823569496128557056,2017-01-23 17:34:03 CET,2017-01-23,17:34:03,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Medicated Hot chocolate #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana…  https://t.co/eeAIViTzbl,en,[],['https://www.instagram.com/p/BPnR6AVgsCX/'],[],0,0,1,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana']",[],https://twitter.com/TheNightAfterx/status/823569496128557056,False,,0,,,"39,-98,2400km",,,,,[],,,,
823569415744720896,823569415744720896,2017-01-23 17:33:44 CET,2017-01-23,17:33:44,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Medicated oil #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj…  https://t.co/hoPMUpawpE,en,[],['https://www.instagram.com/p/BPnR3zDAS3S/'],[],0,0,3,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj']",[],https://twitter.com/TheNightAfterx/status/823569415744720896,False,,0,,,"39,-98,2400km",,,,,[],,,,
823569222135664643,823569222135664643,2017-01-23 17:32:58 CET,2017-01-23,17:32:58,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Medicated snickerdoodles #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana…  https://t.co/U45UNCElVZ,en,[],['https://www.instagram.com/p/BPnRxxKgIEJ/'],[],0,0,1,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana']",[],https://twitter.com/TheNightAfterx/status/823569222135664643,False,,0,,,"39,-98,2400km",,,,,[],,,,
823567552316051456,823567552316051456,2017-01-23 17:26:20 CET,2017-01-23,17:26:20,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Medicated Hot CoCo #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc…  https://t.co/p00Jk99E9Z,en,[],['https://www.instagram.com/p/BPnRBN1gTjF/'],[],0,0,3,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc']",[],https://twitter.com/TheNightAfterx/status/823567552316051456,False,,0,,,"39,-98,2400km",,,,,[],,,,
823567544200167424,823567544200167424,2017-01-23 17:26:18 CET,2017-01-23,17:26:18,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Wake n Bake while I Bake 🙌🏼💯#edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana…  https://t.co/s34SF2mx30,en,[],['https://www.instagram.com/p/BPnRBDfAyhl/'],[],0,0,3,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana']",[],https://twitter.com/TheNightAfterx/status/823567544200167424,False,,0,,,"39,-98,2400km",,,,,[],,,,
823567152317865984,823567152317865984,2017-01-23 17:24:44 CET,2017-01-23,17:24:44,+0100,584131339,spydermanready2,TruuScotchy/Spyderman24,"{'type': 'Point', 'coordinates': [33.9433861, -84.3018112]}",Back in class Scotchy boi Education #TruuScotchy #hustler #design #grind #cannabis #djs #tweet…  https://t.co/MJoXdotaXg,en,[],['http://ln.is/www.instagram.com/p/Aj3Zt'],[],0,2,2,"['truuscotchy', 'hustler', 'design', 'grind', 'cannabis', 'djs', 'tweet']",[],https://twitter.com/SpydermanReady2/status/823567152317865984,False,,0,,,"39,-98,2400km",,,,,[],,,,
823427158366425089,823427158366425089,2017-01-23 08:08:27 CET,2017-01-23,08:08:27,+0100,104718610,legiscanmd,LegiScan MD,"{'type': 'Point', 'coordinates': [38.978862, -76.490685]}",SB267 [NEW] Natalie M. LaPrade Medical Cannabis Commission - Composition and Licenses  https://t.co/P7vMMuTF0B,en,[],['http://bitly.com/XW2UU4'],[],0,0,0,[],[],https://twitter.com/LegiScanMD/status/823427158366425089,False,,0,,,"39,-98,2400km",,,,,[],,,,
823410876686462977,823410876686462977,2017-01-23 07:03:45 CET,2017-01-23,07:03:45,+0100,30744200,truly29,Truly29,"{'type': 'Point', 'coordinates': [40.0, -100.0]}",#cannonscannabis #420 #stonerlife #geeky #rollup #mj #MaryJane #marijuana #cannabis #AVS…  https://t.co/ohd61o0ikJ,und,[],['https://www.instagram.com/p/BPmJxoMjYid/'],[],0,1,1,"['cannonscannabis', 'stonerlife', 'geeky', 'rollup', 'mj', 'maryjane', 'marijuana', 'cannabis', 'avs']",[],https://twitter.com/Truly29/status/823410876686462977,False,,0,,,"39,-98,2400km",,,,,[],,,,
823392001760575488,823392001760575488,2017-01-23 05:48:45 CET,2017-01-23,05:48:45,+0100,104729063,legiscannm,LegiScan NM,"{'type': 'Point', 'coordinates': [35.68244, -105.940074]}",HB155 [NEW] Medical Cannabis Research  https://t.co/8YtvmxAq88,en,[],['http://bitly.com/XSzXbJ'],[],0,0,1,[],[],https://twitter.com/LegiScanNM/status/823392001760575488,False,,0,,,"39,-98,2400km",,,,,[],,,,
823338687316508675,823338687316508675,2017-01-23 02:16:54 CET,2017-01-23,02:16:54,+0100,3061655226,leafonthemesa,Leaf On The Mesa,"{'type': 'Point', 'coordinates': [38.24575, -104.57623]}",💦💦💦💦💦💦💦💦💦 🔥🔥🔥🔥🔥🔥🔥🔥🔥 #leafonthemesa #medicalcannabis #cannabis #americanpridegrowers #fueledbythc…  https://t.co/WsogFvMcPs,und,[],['https://www.instagram.com/p/BPlo8tqDw5J/'],[],0,0,1,"['leafonthemesa', 'medicalcannabis', 'cannabis', 'americanpridegrowers', 'fueledbythc']",[],https://twitter.com/leafonthemesa/status/823338687316508675,False,,0,,,"39,-98,2400km",,,,,[],,,,
823327256210788353,823327256210788353,2017-01-23 01:31:29 CET,2017-01-23,01:31:29,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Chef Grafikz #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj…  https://t.co/9l48bTbFOF,und,[],['https://www.instagram.com/p/BPljv88AAGr/'],[],0,0,1,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj']",[],https://twitter.com/TheNightAfterx/status/823327256210788353,False,,0,,,"39,-98,2400km",,,,,[],,,,
823327037758853121,823327037758853121,2017-01-23 01:30:37 CET,2017-01-23,01:30:37,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Joints #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj #prop215…  https://t.co/Zc7lp3JzRf,en,[],['https://www.instagram.com/p/BPljpimgX4A/'],[],0,0,4,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj', 'prop215']",[],https://twitter.com/TheNightAfterx/status/823327037758853121,False,,0,,,"39,-98,2400km",,,,,[],,,,
823326956213207041,823326956213207041,2017-01-23 01:30:17 CET,2017-01-23,01:30:17,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Indeed #edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj #prop215…  https://t.co/IHRqGbZMq7,en,[],['https://www.instagram.com/p/BPljnN7AyHw/'],[],0,0,2,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj', 'prop215']",[],https://twitter.com/TheNightAfterx/status/823326956213207041,False,,0,,,"39,-98,2400km",,,,,[],,,,
823326628973604866,823326628973604866,2017-01-23 01:28:59 CET,2017-01-23,01:28:59,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",Let's get it 🙌🏼💯#edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj…  https://t.co/grbUziTb4K,en,[],['https://www.instagram.com/p/BPljd1PA4xc/'],[],0,0,1,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj']",[],https://twitter.com/TheNightAfterx/status/823326628973604866,False,,0,,,"39,-98,2400km",,,,,[],,,,
823326335321903106,823326335321903106,2017-01-23 01:27:49 CET,2017-01-23,01:27:49,+0100,1171366838,thenightafterx,TheNightAfterx,"{'type': 'Point', 'coordinates': [36.175, -115.136]}",I'm back! 🙌🏼💯🍪#edibles #420 #cannabis #medibles #cannabiscommunity #710 #marijuana #thc #mmj…  https://t.co/AjllQaWNzR,en,[],['https://www.instagram.com/p/BPljVVpAj_W/'],[],0,0,3,"['edibles', 'cannabis', 'medibles', 'cannabiscommunity', 'marijuana', 'thc', 'mmj']",[],https://twitter.com/TheNightAfterx/status/823326335321903106,False,,0,,,"39,-98,2400km",,,,,[],,,,
